seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr17	39968532	39968628	97	*	X27870	60681	39968962	39979469	10508	+	333	upstream	333	FKBP10
chr17	39968532	39968628	97	*	X27870	10609	39958205	39968855	10651	-	0	inside	226	P3H4
chr17	39969200	39969304	105	*	X27871	60681	39968962	39979469	10508	+	0	inside	237	FKBP10
chr17	39969200	39969304	105	*	X27871	10609	39958205	39968855	10651	-	344	upstream	344	P3H4
chr17	39969995	39970129	135	*	X27872	10609	39958205	39968855	10651	-	1139	upstream	1139	P3H4
chr17	40074925	40075020	96	*	X27883	47	40023179	40075272	52094	-	0	inside	251	ACLY
chr17	40075598	40075650	53	*	X27884	47	40023179	40075272	52094	-	325	upstream	325	ACLY
chr17	40076121	40076225	105	*	X27885	47	40023179	40075272	52094	-	848	upstream	848	ACLY
chr17	40118630	40118676	47	*	X27888	1267	40118759	40129754	10996	+	82	upstream	82	CNP
chr17	40169234	40169323	90	*	X27890	28511	40169594	40177656	8063	+	270	upstream	270	NKIRAS2
chr17	40272889	40272894	6	*	X27909	94086	40274756	40275371	616	+	1861	upstream	1861	HSPB9
chr17	40273579	40273683	105	*	X27910	94086	40274756	40275371	616	+	1072	upstream	1072	HSPB9
chr17	40273579	40273683	105	*	X27910	2648	40265129	40273382	8254	-	196	upstream	196	KAT2A
chr17	40306807	40307025	219	*	X27912	5878	40276994	40307062	30069	-	0	inside	36	RAB5C
chr17	40308872	40308906	35	*	X27913	5878	40276994	40307062	30069	-	1809	upstream	1809	RAB5C
chr17	40335235	40335399	165	*	X27918	23415	40308910	40333296	24387	-	1938	upstream	1938	KCNH4
chr17	40429299	40429373	75	*	X27925	6777	40351195	40428424	77230	-	874	upstream	874	STAT5B
chr17	40575745	40575879	135	*	X27946	284119	40554467	40575338	20872	-	406	upstream	406	CAVIN1
chr17	40576802	40577041	240	*	X27947	284119	40554467	40575338	20872	-	1463	upstream	1463	CAVIN1
chr17	40687121	40687270	150	*	X27955	4669	40687951	40696466	8516	+	680	upstream	680	NAGLU
chr17	40713952	40714056	105	*	X27961	80347	40714092	40718299	4208	+	35	upstream	35	COASY
chr17	40714267	40714404	138	*	X27963	80347	40714092	40718299	4208	+	0	inside	174	COASY
chr17	40731397	40731471	75	*	X27968	29893	40724328	40729849	5522	-	1547	upstream	1547	PSMC3IP
chr17	40829561	40829620	60	*	X27978	79990	40819932	40829048	9117	-	512	upstream	512	PLEKHH3
chr17	40830941	40831030	90	*	X27979	79990	40819932	40829048	9117	-	1892	upstream	1892	PLEKHH3
chr17	40834689	40834808	120	*	X27981	8506	40834632	40852011	17380	+	0	inside	56	CNTNAP1
chr17	40834689	40834808	120	*	X27981	2826	40831420	40833845	2426	-	843	upstream	843	CCR10
chr17	40835154	40835408	255	*	X27982	2826	40831420	40833845	2426	-	1308	upstream	1308	CCR10
chr17	40835694	40835766	73	*	X27983	2826	40831420	40833845	2426	-	1848	upstream	1848	CCR10
chr17	40896496	40896885	390	*	X27989	2145	40852293	40897071	44779	-	0	inside	185	EZH1
chr17	40914841	40914929	89	*	X27990	100190938	40905947	40913275	7329	-	1565	upstream	1565	RAMP2-AS1
chr17	40925626	40925745	120	*	X27991	84313	40925454	40931617	6164	+	0	inside	171	VPS25
chr17	40932107	40932241	135	*	X27992	65266	40932649	40949084	16436	+	407	upstream	407	WNK4
chr17	40932482	40932535	54	*	X27993	65266	40932649	40949084	16436	+	113	upstream	113	WNK4
chr17	40994986	40995105	120	*	X27995	314	40996609	41002724	6116	+	1503	upstream	1503	AOC2
chr17	41131757	41131922	166	*	X27997	146923	41132582	41145707	13126	+	659	upstream	659	RUNDC1
chr17	41158698	41158907	210	*	X27999	3430	41158742	41166476	7735	+	0	overlapStart	0	IFI35
chr17	41174418	41174422	5	*	X28005	10493	41166622	41174459	7838	-	0	inside	36	VAT1
chr17	41174499	41174537	39	*	X28006	10493	41166622	41174459	7838	-	39	upstream	39	VAT1
chr17	41177386	41178002	617	*	X28007	8153	41177258	41184058	6801	+	0	inside	127	RND2
chr17	41276429	41276563	135	*	X28014	10230	41277600	41305688	28089	+	1036	upstream	1036	NBR2
chr17	41277014	41277208	195	*	X28015	10230	41277600	41305688	28089	+	391	upstream	391	NBR2
chr17	41321541	41321750	210	*	X28017	4077	41322498	41363707	41210	+	747	upstream	747	NBR1
chr17	41323318	41323467	150	*	X28018	672	41196312	41322420	126109	-	897	upstream	897	BRCA1
chr17	41363796	41363915	120	*	X28020	113277	41363894	41371589	7696	+	0	overlapStart	0	TMEM106A
chr17	41466691	41466780	90	*	X28028	100130581	41447213	41466266	19054	-	424	upstream	424	LINC00910
chr17	41467110	41467124	15	*	X28029	100130581	41447213	41466266	19054	-	843	upstream	843	LINC00910
chr17	41623686	41623790	105	*	X28051	2118	41605211	41623800	18590	-	0	inside	9	ETV4
chr17	41856653	41856742	90	*	X28065	284067	41857803	41862054	4252	+	1060	upstream	1060	CFAP97D1
chr17	41856653	41856742	90	*	X28065	1845	41843489	41856368	12880	-	284	upstream	284	DUSP3
chr17	42020874	42020946	73	*	X28075	5539	42018172	42019833	1662	-	1040	upstream	1040	PPY
chr17	42093316	42093405	90	*	X28092	84336	42088556	42092415	3860	-	900	upstream	900	TMEM101
chr17	42148241	42148320	80	*	X28099	92579	42148098	42153712	5615	+	0	inside	142	G6PC3
chr17	42200625	42200729	105	*	X28124	10014	42154121	42201014	46894	-	0	inside	284	HDAC5
chr17	42219062	42219091	30	*	X28125	78995	42219274	42239844	20571	+	182	upstream	182	HROB
chr17	42247915	42247981	67	*	X28128	92591	42248074	42256451	8378	+	92	upstream	92	ASB16
chr17	42264487	42264511	25	*	X28130	79089	42264354	42269099	4746	+	0	inside	132	TMUB2
chr17	42264487	42264511	25	*	X28130	339201	42253342	42264085	10744	-	401	upstream	401	ASB16-AS1
chr17	42276097	42276246	150	*	X28136	56970	42269173	42275529	6357	-	567	upstream	567	ATXN7L3
chr17	42299239	42299388	150	*	X28155	7343	42282401	42298994	16594	-	244	upstream	244	UBTF
chr17	42300847	42300966	120	*	X28156	7343	42282401	42298994	16594	-	1852	upstream	1852	UBTF
chr17	42345229	42345387	159	*	X28159	6521	42325758	42345502	19745	-	0	inside	114	SLC4A1
chr17	42384904	42385008	105	*	X28163	10900	42385927	42396038	10112	+	918	upstream	918	RUNDC3A
chr17	42633711	42633815	105	*	X28196	2535	42634812	42638630	3819	+	996	upstream	996	FZD2
chr17	42634643	42634852	210	*	X28197	2535	42634812	42638630	3819	+	0	overlapStart	0	FZD2
chr17	42635077	42635107	31	*	X28198	2535	42634812	42638630	3819	+	0	inside	264	FZD2
chr17	42767715	42767774	60	*	X28208	124808	42754805	42767165	12361	-	549	upstream	549	CCDC43
chr17	42835102	42835173	72	*	X28213	4185	42836568	42859214	22647	+	1394	upstream	1394	ADAM11
chr17	42835280	42835281	2	*	X28214	4185	42836568	42859214	22647	+	1286	upstream	1286	ADAM11
chr17	42836222	42836300	79	*	X28215	4185	42836568	42859214	22647	+	267	upstream	267	ADAM11
chr17	42910175	42910354	180	*	X28234	10052	42875816	42908179	32364	-	1995	upstream	1995	GJC1
chr17	43025017	43025079	63	*	X28252	146909	43002079	43025079	23001	-	0	inside	0	KIF18B
chr17	43045929	43046078	150	*	X28253	10882	43037061	43045644	8584	-	284	upstream	284	C1QL1
chr17	43046124	43046303	180	*	X28254	10882	43037061	43045644	8584	-	479	upstream	479	C1QL1
chr17	43208336	43208337	2	*	X28293	79777	43209967	43221543	11577	+	1629	upstream	1629	ACBD4
chr17	43210107	43210211	105	*	X28294	79777	43209967	43221543	11577	+	0	inside	139	ACBD4
chr17	43210107	43210211	105	*	X28294	113026	43189008	43209891	20884	-	215	upstream	215	PLCD3
chr17	43210317	43210421	105	*	X28295	113026	43189008	43209891	20884	-	425	upstream	425	PLCD3
chr17	43223626	43223730	105	*	X28304	10614	43224684	43229468	4785	+	953	upstream	953	HEXIM1
chr17	43224481	43224585	105	*	X28305	10614	43224684	43229468	4785	+	98	upstream	98	HEXIM1
chr17	43224826	43224851	26	*	X28306	10614	43224684	43229468	4785	+	0	inside	141	HEXIM1
chr17	43238311	43238415	105	*	X28310	124790	43238264	43247406	9143	+	0	inside	46	HEXIM2
chr17	43324410	43324559	150	*	X28330	100133991	43325303	43345997	20695	+	743	upstream	743	MAP3K14-AS1
chr17	43324875	43325009	135	*	X28331	100133991	43325303	43345997	20695	+	293	upstream	293	MAP3K14-AS1
chr17	43325460	43325551	92	*	X28332	100133991	43325303	43345997	20695	+	0	inside	156	MAP3K14-AS1
chr17	43395244	43395363	120	*	X28335	9020	43340488	43394414	53927	-	829	upstream	829	MAP3K14
chr17	44897681	44897928	248	*	X28395	7473	44839872	44896126	56255	-	1554	upstream	1554	WNT3
chr17	44999661	44999706	46	*	X28400	9570	45000486	45104994	104509	+	779	upstream	779	GOSR2
chr17	45057390	45057429	40	*	X28409	388394	45055522	45056614	1093	-	775	upstream	775	RPRML
chr17	45057506	45057509	4	*	X28410	388394	45055522	45056614	1093	-	891	upstream	891	RPRML
chr17	45285156	45285260	105	*	X28420	4635	45286428	45301045	14618	+	1167	upstream	1167	MYL4
chr17	45400154	45400273	120	*	X28428	124989	45401142	45518677	117536	+	868	upstream	868	EFCAB13
chr17	45726619	45726738	120	*	X28440	3837	45727204	45761004	33801	+	465	upstream	465	KPNB1
chr17	45726784	45726873	90	*	X28441	3837	45727204	45761004	33801	+	330	upstream	330	KPNB1
chr17	45726949	45726968	20	*	X28442	3837	45727204	45761004	33801	+	235	upstream	235	KPNB1
chr17	45809500	45809567	68	*	X28453	30009	45810610	45823485	12876	+	1042	upstream	1042	TBX21
chr17	45810490	45810498	9	*	X28454	30009	45810610	45823485	12876	+	111	upstream	111	TBX21
chr17	45899132	45899135	4	*	X28456	114881	45884733	45899147	14415	-	0	inside	11	OSBPL7
chr17	45899201	45899236	36	*	X28457	114881	45884733	45899147	14415	-	53	upstream	53	OSBPL7
chr17	45899387	45899491	105	*	X28458	114881	45884733	45899147	14415	-	239	upstream	239	OSBPL7
chr17	45909076	45909136	61	*	X28459	90506	45908993	45915079	6087	+	0	inside	82	LRRC46
chr17	45909076	45909136	61	*	X28459	124995	45900638	45908907	8270	-	168	upstream	168	MRPL10
chr17	45918481	45918526	46	*	X28460	90507	45915047	45918699	3653	-	0	inside	172	SCRN2
chr17	46125705	46125805	101	*	X28502	4779	46125686	46138907	13222	+	0	inside	18	NFE2L1
chr17	46125851	46125998	148	*	X28503	4779	46125686	46138907	13222	+	0	inside	164	NFE2L1
chr17	46180630	46180734	105	*	X28515	10951	46147414	46178883	31470	-	1746	upstream	1746	CBX1
chr17	46185200	46185304	105	*	X28516	29916	46184911	46200105	15195	+	0	inside	288	SNX11
chr17	46621134	46621164	31	*	X28525	100874362	46621713	46628603	6891	+	548	upstream	548	HOXB-AS1
chr17	46621336	46621418	83	*	X28526	100874362	46621713	46628603	6891	+	294	upstream	294	HOXB-AS1
chr17	46621976	46622095	120	*	X28527	100874362	46621713	46628603	6891	+	0	inside	262	HOXB-AS1
chr17	46621976	46622095	120	*	X28527	3212	46620019	46622393	2375	-	0	inside	297	HOXB2
chr17	46622276	46622388	113	*	X28528	3212	46620019	46622393	2375	-	0	inside	4	HOXB2
chr17	46623821	46623970	150	*	X28529	3212	46620019	46622393	2375	-	1427	upstream	1427	HOXB2
chr17	46624121	46624255	135	*	X28530	3212	46620019	46622393	2375	-	1727	upstream	1727	HOXB2
chr17	46656276	46656296	21	*	X28539	3214	46652869	46655743	2875	-	532	upstream	532	HOXB4
chr17	46658278	46658346	69	*	X28540	406902	46657200	46657309	110	-	968	upstream	968	MIR10A
chr17	46658383	46658397	15	*	X28541	406902	46657200	46657309	110	-	1073	upstream	1073	MIR10A
chr17	46682083	46682202	120	*	X28543	3216	46673099	46682354	9256	-	0	inside	151	HOXB6
chr17	46690218	46690352	135	*	X28544	3217	46684595	46688383	3789	-	1834	upstream	1834	HOXB7
chr17	46800722	46800946	225	*	X28552	360205	46800542	46802119	1578	+	0	inside	179	PRAC2
chr17	46800722	46800946	225	*	X28552	84366	46799082	46799882	801	-	839	upstream	839	PRAC1
chr17	46806437	46806556	120	*	X28553	10481	46802127	46806111	3985	-	325	upstream	325	HOXB13
chr17	46894059	46894298	240	*	X28559	284076	46839593	46894469	54877	-	0	inside	170	TTLL6
chr17	46894337	46894428	92	*	X28560	284076	46839593	46894469	54877	-	0	inside	40	TTLL6
chr17	46895672	46895728	57	*	X28561	284076	46839593	46894469	54877	-	1202	upstream	1202	TTLL6
chr17	47022034	47022093	60	*	X28578	11267	47007459	47022154	14696	-	0	inside	60	SNF8
chr17	47072705	47072869	165	*	X28581	10642	47074774	47133507	58734	+	1904	upstream	1904	IGF2BP1
chr17	47073010	47073139	130	*	X28582	10642	47074774	47133507	58734	+	1634	upstream	1634	IGF2BP1
chr17	47073615	47073714	100	*	X28583	10642	47074774	47133507	58734	+	1059	upstream	1059	IGF2BP1
chr17	47073325	47073399	75	*	X28584	10642	47074774	47133507	58734	+	1374	upstream	1374	IGF2BP1
chr17	47074460	47074624	165	*	X28585	10642	47074774	47133507	58734	+	149	upstream	149	IGF2BP1
chr17	47074655	47074729	75	*	X28586	10642	47074774	47133507	58734	+	44	upstream	44	IGF2BP1
chr17	47074955	47075059	105	*	X28587	10642	47074774	47133507	58734	+	0	inside	180	IGF2BP1
chr17	47571456	47571583	128	*	X28634	4804	47572655	47592382	19728	+	1071	upstream	1071	NGFR
chr17	47651773	47651907	135	*	X28666	11248	47653298	47661171	7874	+	1390	upstream	1390	NXPH3
chr17	47653393	47653542	150	*	X28667	11248	47653298	47661171	7874	+	0	inside	94	NXPH3
chr17	47755161	47755295	135	*	X28685	8405	47676246	47755525	79280	-	0	inside	229	SPOP
chr17	48073609	48073803	195	*	X28719	1747	48067369	48072588	5220	-	1020	upstream	1020	DLX3
chr17	48132629	48132733	105	*	X28724	3675	48133340	48167849	34510	+	606	upstream	606	ITGA3
chr17	48133364	48133498	135	*	X28725	3675	48133340	48167849	34510	+	0	inside	23	ITGA3
chr17	48133364	48133498	135	*	X28725	284080	48127713	48133103	5391	-	260	upstream	260	PICART1
chr17	48208017	48208076	60	*	X28745	201191	48188673	48207246	18574	-	770	upstream	770	SAMD14
chr17	48208362	48208466	105	*	X28746	201191	48188673	48207246	18574	-	1115	upstream	1115	SAMD14
chr17	48209184	48209423	240	*	X28747	201191	48188673	48207246	18574	-	1937	upstream	1937	SAMD14
chr17	48227812	48227976	165	*	X28759	84687	48211101	48227877	16777	-	0	overlapStart	0	PPP1R9B
chr17	48228052	48228186	135	*	X28760	84687	48211101	48227877	16777	-	174	upstream	174	PPP1R9B
chr17	48228525	48228606	82	*	X28761	84687	48211101	48227877	16777	-	647	upstream	647	PPP1R9B
chr17	48228999	48229088	90	*	X28762	84687	48211101	48227877	16777	-	1121	upstream	1121	PPP1R9B
chr17	48229749	48229868	120	*	X28763	84687	48211101	48227877	16777	-	1871	upstream	1871	PPP1R9B
chr17	48241503	48241523	21	*	X28766	6442	48243366	48253293	9928	+	1842	upstream	1842	SGCA
chr17	48279339	48279436	98	*	X28774	1277	48261457	48279000	17544	-	338	upstream	338	COL1A1
chr17	48279469	48279473	5	*	X28775	1277	48261457	48279000	17544	-	468	upstream	468	COL1A1
chr17	48422639	48422728	90	*	X28797	64132	48423393	48438512	15120	+	664	upstream	664	XYLT2
chr17	48475028	48475075	48	*	X28802	55379	48458594	48474914	16321	-	113	upstream	113	LRRC59
chr17	48475413	48475495	83	*	X28803	55379	48458594	48474914	16321	-	498	upstream	498	LRRC59
chr17	48503383	48503555	173	*	X28805	80221	48503519	48552200	48682	+	0	overlapStart	0	ACSF2
chr17	48547237	48547271	35	*	X28808	1101	48541853	48546227	4375	-	1009	upstream	1009	CHAD
chr17	48547887	48548141	255	*	X28809	1101	48541853	48546227	4375	-	1659	upstream	1659	CHAD
chr17	48585531	48585673	143	*	X28811	84073	48585745	48608862	23118	+	71	upstream	71	MYCBPAP
chr17	48637441	48637528	88	*	X28819	8913	48638429	48704832	66404	+	900	upstream	900	CACNA1G
chr17	48637892	48637981	90	*	X28820	8913	48638429	48704832	66404	+	447	upstream	447	CACNA1G
chr17	48640454	48640573	120	*	X28821	253962	48633568	48639469	5902	-	984	upstream	984	CACNA1G-AS1
chr17	48784980	48785068	89	*	X28849	91369	48770551	48785270	14720	-	0	inside	201	ANKRD40
chr17	48910421	48910570	150	*	X28857	124857	48912011	48919709	7699	+	1440	upstream	1440	WFIKKN2
chr17	48910789	48910923	135	*	X28858	124857	48912011	48919709	7699	+	1087	upstream	1087	WFIKKN2
chr17	48911569	48911793	225	*	X28859	124857	48912011	48919709	7699	+	217	upstream	217	WFIKKN2
chr17	48942416	48942535	120	*	X28864	400604	48944040	48945732	1693	+	1504	upstream	1504	TOB1-AS1
chr17	48942911	48943150	240	*	X28865	400604	48944040	48945732	1693	+	889	upstream	889	TOB1-AS1
chr17	48944036	48944230	195	*	X28866	400604	48944040	48945732	1693	+	0	overlapStart	0	TOB1-AS1
chr17	48944246	48944335	90	*	X28867	400604	48944040	48945732	1693	+	0	inside	205	TOB1-AS1
chr17	48944951	48945055	105	*	X28870	10140	48939587	48945339	5753	-	0	inside	283	TOB1
chr17	48945371	48945475	105	*	X28871	10140	48939587	48945339	5753	-	31	upstream	31	TOB1
chr17	49198478	49198562	85	*	X28898	9043	49039535	49198226	158692	-	251	upstream	251	SPAG9
chr17	49243033	49243197	165	*	X28900	4831	49242796	49249105	6310	+	0	inside	236	NME2
chr17	49337013	49337018	6	*	X28903	51096	49337897	49375292	37396	+	878	upstream	878	UTP18
chr17	52978348	52978407	60	*	X28911	10040	52978052	53039328	61277	+	0	inside	295	TOM1L1
chr17	53045938	53046012	75	*	X28913	252983	53046126	53241449	195324	+	113	upstream	113	STXBP4
chr17	53045938	53046012	75	*	X28913	1353	53029259	53046064	16806	-	0	inside	51	COX11
chr17	53828183	53828227	45	*	X28920	58488	53828340	53854748	26409	+	112	upstream	112	PCTP
chr17	54230340	54230346	7	*	X28922	162282	54230836	54560007	329172	+	489	upstream	489	ANKFN1
chr17	54670337	54670403	67	*	X28926	9241	54671060	54672951	1892	+	656	upstream	656	NOG
chr17	54670644	54670687	44	*	X28927	9241	54671060	54672951	1892	+	372	upstream	372	NOG
chr17	54670914	54671048	135	*	X28928	9241	54671060	54672951	1892	+	11	upstream	11	NOG
chr17	54911899	54912003	105	*	X28933	339210	54869274	54911256	41983	-	642	upstream	642	C17orf67
chr17	55054516	55054597	82	*	X28936	59342	55055468	55084129	28662	+	870	upstream	870	SCPEP1
chr17	55055318	55055370	53	*	X28937	59342	55055468	55084129	28662	+	97	upstream	97	SCPEP1
chr17	55331171	55331260	90	*	X28954	124540	55333212	55757299	424088	+	1951	upstream	1951	MSI2
chr17	55333466	55333570	105	*	X28955	124540	55333212	55757299	424088	+	0	inside	253	MSI2
chr17	55928883	55928891	9	*	X29030	51649	55916287	55927433	11147	-	1449	upstream	1449	MRPS23
chr17	56032806	56032985	180	*	X29054	404093	55938604	56032684	94081	-	121	upstream	121	CUEDC1
chr17	56160490	56160541	52	*	X29066	140735	56160780	56167618	6839	+	238	upstream	238	DYNLL2
chr17	56234167	56234286	120	*	X29071	55545	56234320	56236480	2161	+	33	upstream	33	MSX2P1
chr17	56400972	56401003	32	*	X29073	100506779	56402811	56431088	28278	+	1807	upstream	1807	TSPOAP1-AS1
chr17	56406119	56406226	108	*	X29074	9256	56378588	56406152	27565	-	0	overlapStart	0	TSPOAP1
chr17	56406245	56406267	23	*	X29075	9256	56378588	56406152	27565	-	92	upstream	92	TSPOAP1
chr17	56429939	56430028	90	*	X29081	6827	56422536	56429599	7064	-	339	upstream	339	SUPT4H1
chr17	56494935	56494978	44	*	X29086	54894	56431038	56494931	63894	-	3	upstream	3	RNF43
chr17	56595205	56595214	10	*	X29091	9110	56566893	56595251	28359	-	0	inside	36	MTMR4
chr17	57230930	57231049	120	*	X29108	55771	57232860	57284070	51211	+	1810	upstream	1810	PRR11
chr17	57231665	57231739	75	*	X29109	55771	57232860	57284070	51211	+	1120	upstream	1120	PRR11
chr17	57231992	57232111	120	*	X29110	55771	57232860	57284070	51211	+	748	upstream	748	PRR11
chr17	57233270	57233389	120	*	X29111	348235	57187308	57232800	45493	-	469	upstream	469	SKA2
chr17	57407470	57407574	105	*	X29113	388403	57409053	57479095	70043	+	1478	upstream	1478	YPEL2
chr17	57408292	57408332	41	*	X29114	388403	57409053	57479095	70043	+	720	upstream	720	YPEL2
chr17	57408528	57408549	22	*	X29115	388403	57409053	57479095	70043	+	503	upstream	503	YPEL2
chr17	57408565	57408699	135	*	X29116	388403	57409053	57479095	70043	+	353	upstream	353	YPEL2
chr17	57408862	57408878	17	*	X29117	388403	57409053	57479095	70043	+	174	upstream	174	YPEL2
chr17	57642406	57642495	90	*	X29128	79665	57642886	57685713	42828	+	390	upstream	390	DHX40
chr17	57642826	57642930	105	*	X29129	79665	57642886	57685713	42828	+	0	overlapStart	0	DHX40
chr17	57695845	57695949	105	*	X29131	1213	57697050	57774317	77268	+	1100	upstream	1100	CLTC
chr17	57970710	57970919	210	*	X29139	51174	57936841	57970306	33466	-	403	upstream	403	TUBD1
chr17	58155992	58156111	120	*	X29140	63897	58120552	58156292	35741	-	0	inside	180	HEATR6
chr17	58156361	58156396	36	*	X29141	63897	58120552	58156292	35741	-	68	upstream	68	HEATR6
chr17	58227153	58227263	111	*	X29146	762	58227302	58248260	20959	+	38	upstream	38	CA4
chr17	58469031	58469435	405	*	X29159	84669	58254691	58469586	214896	-	0	inside	150	USP32
chr17	58499390	58499390	1	*	X29160	124773	58499865	58508787	8923	+	474	upstream	474	C17orf64
chr17	58755353	58755517	165	*	X29164	54828	58755172	59470199	715028	+	0	inside	180	BCAS3
chr17	59487309	59487312	4	*	X29175	388407	59489112	59490641	1530	+	1799	upstream	1799	LINC02875
chr17	59487508	59487612	105	*	X29176	388407	59489112	59490641	1530	+	1499	upstream	1499	LINC02875
chr17	59488363	59488377	15	*	X29177	388407	59489112	59490641	1530	+	734	upstream	734	LINC02875
chr17	59489233	59489277	45	*	X29178	388407	59489112	59490641	1530	+	0	inside	120	LINC02875
chr17	59528541	59528705	165	*	X29180	9496	59529779	59562471	32693	+	1073	upstream	1073	TBX4
chr17	59940800	59940864	65	*	X29187	83990	59756547	59940920	184374	-	0	inside	55	BRIP1
chr17	60142383	60142453	71	*	X29191	9969	60019966	60142643	122678	-	0	inside	189	MED13
chr17	60704795	60704925	131	*	X29197	9902	60704762	60770962	66201	+	0	inside	32	MRC2
chr17	61524060	61524179	120	*	X29227	1534	61509665	61523722	14058	-	337	upstream	337	CYB561
chr17	61525396	61525431	36	*	X29228	1534	61509665	61523722	14058	-	1673	upstream	1673	CYB561
chr17	61553009	61553128	120	*	X29229	1636	61554422	61599203	44782	+	1293	upstream	1293	ACE
chr17	61553174	61553398	225	*	X29230	1636	61554422	61599203	44782	+	1023	upstream	1023	ACE
chr17	61553729	61553841	113	*	X29231	1636	61554422	61599203	44782	+	580	upstream	580	ACE
chr17	61599475	61599490	16	*	X29235	81033	61600695	61626338	25644	+	1204	upstream	1204	KCNH6
chr17	61600286	61600311	26	*	X29236	81033	61600695	61626338	25644	+	383	upstream	383	KCNH6
chr17	61600842	61600991	150	*	X29237	81033	61600695	61626338	25644	+	0	inside	146	KCNH6
chr17	61627263	61627397	135	*	X29241	10238	61627796	61671642	43847	+	398	upstream	398	DCAF7
chr17	61699688	61699968	281	*	X29244	4215	61699775	61773670	73896	+	0	overlapStart	0	MAP3K3
chr17	61775616	61775750	135	*	X29246	729683	61777698	61780045	2348	+	1947	upstream	1947	LOC729683
chr17	61776781	61776885	105	*	X29247	729683	61777698	61780045	2348	+	812	upstream	812	LOC729683
chr17	61851668	61851693	26	*	X29255	11325	61851567	61896677	45111	+	0	inside	100	DDX42
chr17	61851668	61851693	26	*	X29255	57003	61822610	61851088	28479	-	579	upstream	579	CCDC47
chr17	61851874	61851978	105	*	X29256	57003	61822610	61851088	28479	-	785	upstream	785	CCDC47
chr17	61852819	61852923	105	*	X29257	57003	61822610	61851088	28479	-	1730	upstream	1730	CCDC47
chr17	61904954	61905043	90	*	X29261	5705	61904770	61909387	4618	+	0	inside	183	PSMC5
chr17	61904954	61905043	90	*	X29261	117246	61896793	61905031	8239	-	0	overlapStart	0	FTSJ3
chr17	61905299	61905433	135	*	X29262	117246	61896793	61905031	8239	-	267	upstream	267	FTSJ3
chr17	62075624	62075637	14	*	X29278	92340	62075711	62081644	5934	+	73	upstream	73	PRR29
chr17	62207724	62207777	54	*	X29283	2081	62120390	62207502	87113	-	221	upstream	221	ERN1
chr17	62207853	62207957	105	*	X29284	2081	62120390	62207502	87113	-	350	upstream	350	ERN1
chr17	62340326	62340505	180	*	X29285	55852	62224795	62340653	115859	-	0	inside	147	TEX2
chr17	62501852	62501986	135	*	X29287	90799	62503158	62534062	30905	+	1171	upstream	1171	CEP95
chr17	62502047	62502085	39	*	X29288	90799	62503158	62534062	30905	+	1072	upstream	1072	CEP95
chr17	62915802	62915925	124	*	X29306	374819	62850488	62915586	65099	-	215	upstream	215	LRRC37A3
chr17	62971713	62971832	120	*	X29307	201283	62962668	62971703	9036	-	9	upstream	9	AMZ2P1
chr17	63053163	63053312	150	*	X29312	10672	63005407	63052920	47514	-	242	upstream	242	GNA13
chr17	63133186	63133290	105	*	X29315	8787	63133456	63223821	90366	+	165	upstream	165	RGS9
chr17	64188057	64188149	93	*	X29336	201134	63631658	64188212	556555	-	0	inside	62	CEP112
chr17	64188987	64189046	60	*	X29337	201134	63631658	64188212	556555	-	774	upstream	774	CEP112
chr17	64959842	64959946	105	*	X29352	27092	64960980	65029518	68539	+	1033	upstream	1033	CACNG4
chr17	64960502	64960597	96	*	X29353	27092	64960980	65029518	68539	+	382	upstream	382	CACNG4
chr17	64960999	64961041	43	*	X29354	27092	64960980	65029518	68539	+	0	inside	18	CACNG4
chr17	65241278	65241487	210	*	X29364	9931	65066554	65241319	174766	-	0	overlapStart	0	HELZ
chr17	65821225	65821329	105	*	X29376	2186	65821780	65980494	158715	+	450	upstream	450	BPTF
chr17	65990133	65990417	285	*	X29386	284018	65987217	65989765	2549	-	367	upstream	367	C17orf58
chr17	65991759	65991848	90	*	X29387	284018	65987217	65989765	2549	-	1993	upstream	1993	C17orf58
chr17	66097589	66097693	105	*	X29397	100499466	66097696	66132070	34375	+	2	upstream	2	LINC00674
chr17	66193010	66193033	24	*	X29399	440461	66194801	66196443	1643	+	1767	upstream	1767	ARHGAP27P2
chr17	66193304	66193365	62	*	X29400	440461	66194801	66196443	1643	+	1435	upstream	1435	ARHGAP27P2
chr17	66453280	66453384	105	*	X29408	55062	66417422	66453653	36232	-	0	inside	268	WIPI1
chr17	66454055	66454249	195	*	X29409	55062	66417422	66453653	36232	-	401	upstream	401	WIPI1
chr17	68165839	68165943	105	*	X29426	400617	68163102	68165543	2442	-	295	upstream	295	KCNJ2-AS1
chr17	68167309	68167356	48	*	X29427	400617	68163102	68165543	2442	-	1765	upstream	1765	KCNJ2-AS1
chr17	70588553	70588657	105	*	X29460	100499467	70399463	70588943	189481	-	0	inside	285	LINC00673
chr17	71161048	71161103	56	*	X29494	6752	71161160	71168062	6903	+	56	upstream	56	SSTR2
chr17	71188212	71188331	120	*	X29498	9382	71189173	71204645	15473	+	841	upstream	841	COG1
chr17	71188355	71188384	30	*	X29499	9382	71189173	71204645	15473	+	788	upstream	788	COG1
chr17	71188465	71188489	25	*	X29500	9382	71189173	71204645	15473	+	683	upstream	683	COG1
